Uniprot_A,Uniprot_B,author_score
Q13526,Q9NZQ3-3, 0.805091857787
Q6P2C6,Q9BZ95-3,-
Q96LM6,Q99895, 0.806245621619
O95881,Q9UMX0-2,-
Q16873,Q8TBB6,-
Q86VQ0,Q96CN9, 0.865495164403
Q13077-1,Q9ULM2, 0.90700256325
O75084,Q96EQ0, 0.816938573918
Q7Z3K3-1,Q9NXR5-2, 0.795174617338
Q15013-1,P19012-1,-
P55040,Q59EK9-3,-
Q9NZ81-1,Q8TBB1-1,-
P43355,Q9NUL5-4,-
Q96MP8-2,P54274-2, 0.908440390191
Q9BYQ6,P32242,-
Q9P0W2-1,Q15834,-
Q96LR5,Q96B67, 0.925911660503
Q9NWM3-1,Q9NYB9-2, 0.693106017343
P11686,Q9BSE2,-
Q13277-1,Q9H115-1, 0.927573048316
Q13277-1,Q9GZR5, 0.676329569982
Q9UBY5,Q96Q45-2, 0.828014599632
P78337,A0A0B4J2F2, 0.677146054591
Q6UWE0-1,Q99816-1,-
B8A4K4,Q9NU39, 0.931765040933
Q6S9Z5,Q8N9N5-2, 0.737853608374
Q8WXK3-2,Q15645-1,-
Q86VE0,P79522-1,-
P51687,A0A0C4DGW6, 0.799186918269
P0CG20,Q03154-1, 0.797058542958
P27105-1,Q96DZ9-2, 0.726611408644
Q96GM5-1,Q9H079, 0.689166549379
Q92748,Q92748,-
Q6ZU52-1,G5E962,-
Q08426-1,Q8IYE1, 0.805218113898
G5E9W6,O95983-2, 0.72018913353
Q8NE01-1,Q9BRK4,-
Q99757,Q9BX10-1, 0.811330245422
Q8WWY3-1,Q8NHQ1-1, 0.891953147487
Q92843-1,Q92934,-
P86479,Q6P1W5-2,-
Q9HBI0-1,Q9UBR4-2, 0.875012628844
Q7Z6G3-2,Q9H1K1-1,-
Q6P2R3,Q9NSK0-1,-
Q9H2F3-1,Q9H6H4-1, 0.646973743087
Q9BW66-1,A0A0R4J2E4,-
Q96I34,Q9UBB9-1,-
Q15848,Q7Z769, 0.737665010086
O15075-2,Q9UJX2-1, 0.845220641091
P55209-1,Q8NHY3-1, 0.856342423847
Q494U1-3,P49023-2, 0.886814294686
Q53FD0-2,Q8N6L0, 0.86211372249
O95947-1,Q93062-3,-
P09211,P78385, 0.805648126799
Q9UBV7,P53611, 0.87746500874
Q99687-3,Q9UIG4, 0.745942821339
Q8TBB1-1,Q9P209-1, 0.875615371058
Q9H788-1,Q9NZC7-5, 0.872872818517
P09619-1,Q15323, 0.881698261647
Q96GM5-1,Q9H9H4,-
P55081,Q96GN5-1,-
Q96HA8-1,Q9BPX1,-
Q9BSE4,Q9NUM3-1, 0.825270566526
O76071,Q3KP44-2,-
O43765,P48723,-
O94875-12,Q8N5M1,-
Q6A162,Q9C0C4,-
O43189-1,P86496, 0.871778470193
Q96NT3-2,Q9BYR5, 0.844578718451
Q5T681,Q99750,-
Q5TGU0-1,Q53GL0-1, 0.669203584689
P04004,Q9HD26-2, 0.875174400969
P62979,Q99732-1, 0.85871056389
O15217-1,O15217-1,-
Q8WWP7,Q9H6H4-1, 0.672499507821
Q96LK0,Q8IY42, 0.898366561107
Q9NZD8-1,Q0VD86-1,-
P02538,P19012-1, 0.884912868293
Q8WVX3-1,O95867, 0.678654456434
Q96SI9-1,Q6ZRY4-1, 0.88334386703
Q9NZ01-1,B0YJ81-1, 0.855749335425
Q93073-1,Q96FJ2,-
P49760-3,Q8WTR7,-
A6H8Z2-1,Q8IYE1, 0.779990367349
Q9H6X5-2,ENSP00000476265.1, 0.877207418303
Q8NDC0,B0QYN7,-
A0AV96-1,Q5SWW7, 0.779901990755
P51116,P22234-1,-
Q96EC8-1,Q9Y666-1, 0.812915699962
P13647,Q2M2I5, 0.809925896107
P50402,P35240-4,-
O75800-1,P15884-3, 0.866211521801
Q3B820-1,Q68D86-1,-
P49639,Q86UW9-1, 0.897848415929
Q96LR2,Q9H0I2-1,-
Q9UBR2,Q9UJV3-2, 0.880889141476
Q9BWG6-1,Q13422-7, 0.887532686392
Q86W74-2,P36021, 0.807333822465
Q6L8H2,Q8IUC1, 0.84139692744
P35520-1,P35520-1,-
Q8TAU3-1,Q6A162, 0.883925218746
O43741-1,E5RGB3, 0.676236295408
Q16585-1,Q92982, 0.818963638009
Q5J8X5-1,P48165,-
P11686,Q07325,-
P06028-1,Q99500,-
Q7Z6R9,A8MTA8-2, 0.710958497803
P61024,P26371,-
O75293,Q5JVL4-1, 0.882041404094
Q53HI1,P58418-3, 0.689857738504
Q3SY00-1,Q8NHQ1-1, 0.916815178447
Q15025-1,Q92567-2,-
P62166-1,Q86UW9-1,-
O14777,P18848, 0.851594923848
Q9Y247,O76011, 0.894387989262
P57055-1,Q8TAP6-1, 0.894853312176
P16930-1,P60410,-
Q9BVV2,Q96KC2, 0.887978860426
P33993-2,Q9NYB9-2,-
Q8TCE9-1,Q96R06,-
O43711,Q9BPU9, 0.673485068206
Q9BWG6-1,Q9BVV2, 0.666470057212
Q01081-1,Q10567, 0.867423432257
Q6ZUT1-3,Q8NHQ1-1,-
Q9UGL9,Q6L8G9, 0.954486790195
Q9UBV8,Q15038-1,-
Q9BXN2-7,P19397, 0.723488728531
Q15014,Q9H165-2, 0.860996582591
P47897-1,Q9H0C1, 0.900995560664
Q92482-1,Q6IN84-1, 0.683866716649
Q13363-2,O15409-2,-
P61077-1,Q9Y4L5,-
P08247-1,Q96E11-1, 0.834417589082
P09067,O75031-1, 0.926980793428
O75140-2,P49368-1, 0.70991184774
Q2KHM9-1,Q96CN9,-
Q9UBQ0-2,Q96QK1, 0.854662872539
P17482,Q7Z3Y8, 0.88777562868
P49842-2,Q9UGI0, 0.892438485139
O95219-1,Q6ZPD8, 0.791525174535
Q52LG2,Q7Z5V6-2, 0.828133274201
O75208-1,Q8N2M4, 0.67984471581
O00422,H0Y4X3,-
P49639,Q5T751, 0.817686472289
P86481,Q08AM6-1,-
H0YKB7,Q9BVG8-5, 0.899771882523
Q52LG2,Q3V5L5-5, 0.912144662055
Q02930-4,Q15654-1,-
O95363,P14373-1,-
Q9BUP3-1,Q8N5M9, 0.693838153503
Q9Y5B8-1,Q5JST6-1, 0.85120194793
Q3SY00-1,Q8TAS1-2, 0.783963909979
Q8N9N5-7,O43186,-
P62857,O75031-1, 0.91657639842
Q8N5M4-1,Q8N6Y0-1, 0.909569486189
P62851,Q9H2G4, 0.85294328987
Q13895,Q7RTU3,-
Q8WV19,Q96C03-1, 0.707683594374
Q7Z5V6-2,Q3LI66, 0.891511466051
Q8N720-1,Q9NV31, 0.640486338832
A0A087X279,O14879, 0.854027843872
Q96ED9-2,Q9H0A9-2, 0.907590248481
P62316-1,Q9BW66-1, 0.884991198991
P23511-2,Q96K80, 0.880797792832
O43609,Q9BYR7, 0.799820573668
P55040,Q6PI77, 0.911140072511
