Uniprot_A	Uniprot_B
P03247	Q12982
P03247	Q12983
P03247	O60238
Q12982	O60238
O60238	Q12983
O60238	O60238
O60238	P02545-2
P03247	O60238
Q12982	P10415
Q12983	P10415
O60238	P03247
O60238	O60238
O60238	Q12983
O60238	O60238
Q12983	O60238
P03247	O60238
O60238	O60238
O60238	Q12983
P03247	O60238
P03247	Q12983
O60238	O60238
O60238	O60238
O60238	Q12983
Q12983	Q12983
P07948	P31994
P29353	P31994
Q06124	P31994
Q92835	P31994
Q04759	P06241
P06241	Q04759
Q05655	P06241
Q04759	-
Q04759	P06241
Q05655	P06241
P06241	Q04759
P06241	Q04759
Q04759	P06241
P06241	Q04759
Q92783	O95630
O95630	Q92783
Q92783	O95630
Q9Y616	Q99836
Q99836	P51617
O43187	Q99836
Q9Y616	Q9Y4K3
Q9Y4K3	P51617
Q9Y4K3	O43187
P51617	P51617
O43187	O43187
Q9Y616	Q9Y616
P51617	O43187
P51617	Q9Y616
O43187	P51617
O43187	Q9Y616
Q9Y616	P51617
Q9Y616	O43187
P63146	P0CG48
P69905	P68871
P19525	-
P19525	-
P27958-PRO_0000037570	P19525
P19525	P27958-PRO_0000037570
P19525	P27958-PRO_0000037570
P00519	Q9XSK8
P05412	Q8WQG9
Q17446	P15336
P05412	P45983
P23708	P08047
P23708	P08047
P23708	P08047
P23708	P08047
P23708	P08047
P08047	P23708
P23708	P08047
P08047	P23708
P23708	P08047
P23708	P08047
P23708	P08047
P08047	P23708
P23708	P08047
P08047	P23708
P08047	P23708
P08047	P23708
P08047	P23708
P23708	P08047
P08047	P08047
P08047	P18576
Q01714	P18576
P18576	Q01714
Q8NI08	P35869
Q8NI08	P27540
P27540	Q8NI08
P27540	P35869
Q9Y618	P35869
Q9Y618	P27540
P27540	Q9Y618
P27540	P35869
P35869	Q8NI08
P35869	P27540
P35869	Q9Y618
P35869	P27540
Q92729	P10721
Q92729	P10721
P17301	P05556
P17301	P05556
Q08722	P17301
Q08722	P05556
P60033	P27958-PRO_0000037570
P60033	P27958-PRO_0000037570
P27958-PRO_0000037570	P60033
P60033	P27958-PRO_0000037570
P27958-PRO_0000037570	P60033
P60033	P27958-PRO_0000037570
P27958-PRO_0000037570	P60033
P27958-PRO_0000037570	P60033
O95400	P06729
P06241	O15117
Q61097	P36507
Q61097	P08238
Q61097	Q02750
Q61097	P08107
Q61097	Q16543
P27361	Q61097
P31946	Q61097
P31946	Q61097
P36507	Q61097
Q02750	Q61097
P13489	P61823
P03950	P13489
P61823	P13489
P13489	P03950
P13489	P61823
P35236	P28482
P35236	P47811
P35236	P28482
P35236	P28482
P35236	P28482
Q14765	Q99665
P27361	Q62132
P63085	Q62132
Q16539	Q62132
Q62132	P63085
Q62132	P63085
O14543	O60674
O15524	O60674
"chebi:""CHEBI:26667"""	O43699
P41159	O43699
P41159	O15389
P41159	P20138-1
P25911	Q60598
P49710	P25911
P81122	P25911
Q64355	P25911
Q61140	P25911
P25911	Q62418
P25911	O70469
O70469	Q91YX7
Q91YX7	O70469
O70469	O55033
Q91YX7	O70469
